timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1558434136069818,2,6,-14,-6,-5,-8,-7,0
1558434136069818,0,0,-1,-1,-1,-5,-4,-2
1558434136069818,-4,-12,-15,-5,7,6,-10,-6
1558434136069818,1,-2,-10,-13,-16,-12,-2,2
1558434136070816,-6,-1,10,8,6,1,-1,0
1558434136070816,7,15,22,12,20,14,7,0
1558434136071814,4,9,-11,-2,-2,-5,1,1
1558434136071814,-5,-8,2,-6,-7,-5,-13,-7
1558434136081787,-2,2,15,8,9,0,7,7
1558434136081787,2,6,-21,-24,-22,-17,-13,-1
1558434136090763,0,11,9,4,7,14,19,4
1558434136090763,-10,-32,-7,1,7,8,-3,-5
1558434136096746,7,-1,11,9,-2,4,-4,-2
1558434136096746,-5,-7,34,23,9,10,13,4
1558434136112704,6,-2,-56,-36,-12,-14,-7,-1
1558434136112704,11,42,14,2,3,-5,3,2
1558434136121680,-11,-36,-14,-2,2,4,0,-4
1558434136121680,-13,-32,-4,2,0,-6,5,-3
1558434136127663,0,-1,18,14,3,1,-4,-3
1558434136127663,5,12,-4,0,-5,-4,0,1
1558434136150604,8,24,1,3,15,8,3,2
1558434136150604,7,3,-11,-4,-12,-5,-6,1
1558434136151601,-21,-20,-15,-8,-4,-5,-4,-10
1558434136151601,0,-9,-1,0,5,2,6,3
1558434136195482,0,3,7,2,-9,-12,-1,-1
1558434136195482,0,-2,-1,3,0,-3,7,2
1558434136196479,9,32,18,6,-5,-10,-4,0
1558434136196479,-2,-18,-26,-6,-9,-5,-3,-3
1558434136197478,-13,-32,-33,-26,-4,4,-11,-4
1558434136197478,-1,-3,-8,-11,-10,-10,6,-2
1558434136198474,1,-3,14,6,9,9,4,2
1558434136198474,6,12,0,3,-1,-5,-1,2
1558434136210443,10,23,28,16,1,-1,-1,1
1558434136210443,-6,-4,-11,-5,7,5,-2,-3
1558434136216428,4,-6,-15,-10,-3,-1,-12,-1
1558434136216428,-5,-14,12,11,10,7,20,5
1558434136224405,-12,-12,-32,-18,-6,-1,-7,-2
1558434136224405,2,1,17,5,-4,-6,-11,0
1558434136239365,10,21,14,14,10,-3,9,4
1558434136239365,-7,-8,-3,-2,2,0,-5,-1
1558434136247344,-3,-2,11,6,0,1,-3,-2
1558434136247344,8,8,-11,-6,0,1,-5,1
1558434136261306,-21,-33,-14,-9,-9,1,-4,-5
1558434136261306,3,4,-1,-4,-3,2,-7,0
1558434136269286,9,15,0,3,1,3,20,6
1558434136269286,6,20,12,8,-3,-10,-5,-2
1558434136276266,-6,-7,-2,-7,-19,-10,-12,-9
1558434136276266,-8,-2,9,5,12,10,4,-7
1558434136284246,2,2,11,2,-8,-1,-2,0
1558434136284246,4,4,-39,-18,-1,2,9,4
1558434136299207,3,0,19,4,1,-2,3,2
1558434136299207,-19,-21,-19,-7,-6,-5,-16,-7
1558434136314165,1,12,6,7,-1,-7,-5,-6
1558434136314165,-2,5,44,25,3,-6,-7,-2
1558434136321147,1,4,-37,-19,-5,-2,4,-3
1558434136321147,0,-10,1,-10,-8,-1,-9,-6
1558434136330121,1,-15,14,5,-4,-6,3,-1
1558434136330121,-9,-4,-18,-2,8,5,-2,2
1558434136336106,3,8,28,23,11,4,3,6
1558434136336106,13,29,8,0,-1,0,3,1
1558434136344086,-7,-18,-25,-14,1,-2,-8,-7
1558434136344086,0,4,18,5,-1,15,-1,-5
1558434136359046,-9,0,-3,-4,-5,-4,1,0
1558434136359046,9,14,-1,4,2,-6,1,1
1558434136366027,-2,-22,9,-1,3,13,13,4
1558434136366027,-7,-8,-19,-13,-6,4,-15,-12
1558434136382981,-3,-16,-20,-11,-1,-2,-6,-1
1558434136382981,0,7,-15,-16,-9,-7,-2,1
1558434136389963,14,46,37,19,9,4,-2,1
1558434136389963,2,2,-13,-8,-1,4,6,2
1558434136396944,-24,-47,-13,-11,-13,-8,11,-8
1558434136396944,-3,-10,4,4,-1,-2,-4,-5
1558434136403925,8,14,26,14,6,1,-5,3
1558434136403925,-7,-10,-47,-21,-10,-9,-3,-2
1558434136418885,10,5,-7,-13,-7,-10,-7,3
1558434136418885,-6,-3,12,14,12,11,20,6
1558434136426864,-9,-16,-12,-7,3,5,0,0
1558434136426864,11,20,42,27,9,6,7,2
1558434136441824,13,42,-5,-8,-5,-3,-3,1
1558434136441824,-18,-55,-4,-8,-9,-10,-19,-7
1558434136449802,-17,-23,-30,-17,-13,-13,8,-2
1558434136449802,6,7,21,14,2,-1,-2,-1
1558434136456783,-5,-4,-1,4,8,5,-7,-3
1558434136456783,10,4,0,-4,2,5,3,0
1558434136463765,5,18,-4,-4,-2,-4,-15,-2
1558434136463765,-14,-12,11,10,5,1,9,4
1558434136478740,-3,-15,-14,-6,-4,-4,1,0
1558434136478740,4,23,-4,-7,-5,-1,5,-3
1558434136486703,1,-15,-9,2,6,3,-4,-2
1558434136486703,7,1,15,-6,-8,-7,-12,1
1558434136501663,8,30,3,3,7,18,3,-3
1558434136501663,-13,-21,12,8,2,-1,-5,2
1558434136509642,-14,-24,1,-1,-11,-9,5,-6
1558434136509642,2,-5,-7,1,4,2,10,-2
1558434136516624,4,3,-15,-7,4,-3,5,4
1558434136516624,-17,-25,-40,-27,-15,-15,-17,-7
1558434136523605,6,24,1,-1,3,1,-1,-4
1558434136523605,-14,-29,-10,-12,-18,-8,-8,-4
1558434136538565,1,1,25,18,5,-4,-4,-2
1558434136538565,3,18,3,10,18,21,-4,-2
1558434136554522,-1,-10,-15,-10,-4,-3,-3,-6
1558434136554522,3,21,17,12,7,-1,-4,-3
1558434136561504,-18,-50,-37,-20,-8,0,2,-3
1558434136561504,6,21,8,-7,-15,-17,-2,-2
1558434136569482,-3,-16,22,12,3,0,-3,-1
1558434136569482,-4,-11,-25,-17,-15,-5,-6,-1
1558434136576463,4,12,22,19,16,13,7,6
1558434136576463,14,18,21,12,8,0,0,3
1558434136592420,6,12,-21,-7,1,5,-1,-1
1558434136592420,-5,-17,-3,-11,-13,-20,-19,-1
1558434136599402,4,13,26,16,14,8,25,6
1558434136599402,-7,-25,-30,-18,-2,0,1,-2
1558434136606384,8,33,20,14,6,4,3,3
1558434136606384,-16,-39,-22,-6,2,0,0,-4
1558434136621343,6,13,-2,-7,-7,0,-16,-6
1558434136621343,8,19,27,21,12,8,10,7
1558434136629322,-14,-21,-28,-20,-10,-5,-3,-2
1558434136629322,3,-1,15,10,4,0,1,3
1558434136636303,-1,-5,-22,-20,-16,-18,-16,-6
1558434136636303,1,14,18,18,12,4,16,3
1558434136652261,-1,-5,-23,-14,-12,-5,-5,-2
1558434136652261,-11,-8,-24,-21,-14,-11,-3,-6
1558434136659242,9,13,38,25,12,8,3,6
1558434136659242,0,-6,-18,-15,-5,-5,-6,-2
1558434136666223,-11,-28,-13,-3,-4,-12,-9,-4
1558434136666223,7,8,4,-2,-10,-6,1,0
1558434136681184,2,19,11,9,0,4,1,-1
1558434136681184,4,1,4,-1,-15,-8,-6,-1
1558434136689162,6,15,-2,-5,-5,-2,-3,1
1558434136689162,-1,6,11,17,16,15,4,-3
1558434136696143,-9,-7,-24,-18,-9,-12,-2,-4
1558434136696143,-5,-13,12,8,0,0,10,-3
1558434136712101,-3,-19,4,1,-4,1,-3,1
1558434136712101,15,39,26,16,11,9,14,9
1558434136719086,-14,-22,-23,-8,-4,-4,-6,-3
1558434136719086,5,7,-5,-8,-10,-5,-2,-7
1558434136726063,-6,-9,1,-5,4,4,1,0
1558434136726063,-7,-9,4,1,-1,3,-9,-12
1558434136741023,2,-3,2,5,10,13,9,0
1558434136741023,4,10,7,9,4,3,-2,5
1558434136749999,4,9,-8,-5,6,2,-8,-3
1558434136749999,7,14,27,12,4,-3,7,7
1558434136756980,-7,-24,-39,-22,-16,-15,-3,-5
1558434136756980,-9,4,7,-1,-8,-4,-3,-5
1558434136771942,4,13,10,16,10,2,5,2
1558434136771942,-4,-16,-21,-20,-13,-11,-10,-4
1558434136778924,-2,-11,14,4,-4,0,-8,-9
1558434136778924,-2,15,-4,2,1,-5,5,1
1558434136786900,-3,-15,-16,-7,-2,-3,5,-1
1558434136786900,-3,14,-3,3,7,3,2,-1
1558434136801859,-4,-16,21,16,6,3,-4,0
1558434136801859,3,7,-18,-19,-14,-8,-8,-4
1558434136809838,5,1,26,15,8,7,5,4
1558434136809838,-5,-13,-13,-5,-2,-1,-2,-2
1558434136816830,-6,-12,-7,-6,-13,-18,-15,-9
1558434136816830,-2,-1,-23,-11,-3,2,-15,-4
1558434136831781,7,16,14,12,17,13,35,14
1558434136831781,5,-7,-3,-2,5,10,7,5
1558434136838766,3,2,-6,-8,-7,-6,-9,-2
1558434136838766,-11,-13,12,4,-1,-2,4,2
1558434136846758,0,9,-14,-9,-10,-13,-8,-5
1558434136846758,6,20,3,0,4,1,-4,2
1558434136861739,-6,-19,7,10,10,6,8,0
1558434136861739,6,0,-2,-3,-2,0,-6,-1
1558434136869721,-7,-5,-2,-4,-6,-2,-9,-5
1558434136869721,2,11,13,0,-11,-3,-25,-7
1558434136876662,1,7,-26,-15,-7,4,-1,2
1558434136876662,2,-15,2,7,14,7,17,13
1558434136892620,-5,-3,21,15,4,5,8,0
1558434136892620,-4,-7,-9,-10,-4,-6,-6,-5
1558434136898602,2,10,-12,-9,-10,-1,-10,-3
1558434136898602,-2,-12,-11,-20,-10,-11,-4,0
1558434136906581,3,0,2,-1,3,1,-9,-2
1558434136906581,-4,-19,-10,0,4,2,6,1
1558434136921541,1,12,25,9,-1,2,-3,0
1558434136921541,-15,-8,1,0,-13,-13,-19,-10
1558434136929521,3,19,27,24,19,13,16,-6
1558434136929521,-16,-33,-62,-37,-12,-2,5,0
1558434136936500,-2,-2,-14,-12,-2,-1,6,-1
1558434136936500,4,6,9,2,3,2,-7,-3
1558434136952458,-2,-5,-11,-8,-15,-11,-15,-3
1558434136952458,4,16,21,11,-1,-7,-2,-3
1558434136959438,-5,-14,2,7,8,7,6,-1
1558434136959438,5,3,0,3,-3,-4,-10,-3
1558434136966420,10,26,19,5,-2,-3,-1,5
1558434136966420,-9,-24,-12,7,15,10,15,4
1558434136981380,-4,-4,-8,-10,-8,-14,-7,-7
1558434136981380,1,8,5,5,3,7,1,-4
1558434136989359,-19,-36,-42,-27,-18,-16,-5,-5
1558434136989359,11,17,24,9,7,-1,8,3
1558434136998335,-4,2,11,6,4,2,4,-1
1558434136998335,2,3,6,7,7,1,-2,0
1558434137012298,5,8,4,-3,-10,-1,0,-4
1558434137012298,-4,-1,-7,-3,-4,2,-2,-4
1558434137019283,8,20,9,11,13,-1,3,9
1558434137019283,5,-7,10,6,7,4,4,5
1558434137026264,6,29,23,26,14,18,11,7
1558434137026264,-10,-24,-55,-35,-23,-16,-4,-7
1558434137041225,-8,-14,-12,-19,-9,-5,1,-3
1558434137041225,-2,-10,-9,7,5,0,-8,-6
1558434137050197,-8,-21,-27,-24,-9,-6,-6,-2
1558434137050197,4,7,30,15,10,11,3,1
1558434137056180,5,15,7,7,6,11,5,1
1558434137056180,-1,7,10,4,0,-3,0,3
1558434137072138,0,-6,11,3,0,-13,-9,-2
1558434137072138,4,8,-5,-3,-8,-6,2,-3
1558434137079119,-2,-4,-1,0,-8,-9,-5,-2
1558434137079119,1,1,-5,-7,-2,2,6,1
1558434137086101,-5,-6,-3,-1,3,-1,-4,-3
1558434137086101,-3,-2,2,3,-1,-3,4,2
1558434137101067,-3,-8,5,-4,-9,-9,-17,-6
1558434137101067,1,-1,-14,-12,-14,-15,2,-1
1558434137110038,6,-3,-31,-17,-7,-13,0,5
1558434137110038,-1,6,19,15,13,12,10,-2
1558434137117018,-1,-4,-8,-2,-7,-10,-6,0
1558434137117018,-7,-7,-17,-17,-2,4,0,-5
1558434137131982,0,1,24,11,-3,-3,-7,1
1558434137131982,-7,-17,-43,-32,-20,-16,-14,-6
1558434137138961,7,12,18,11,13,17,4,8
1558434137138961,3,5,11,17,7,2,16,7
1558434137146938,-2,0,1,-3,-4,2,-1,-1
1558434137146938,0,0,18,11,9,6,-13,3
1558434137161898,3,7,-8,11,13,4,6,2
1558434137161898,-5,-14,-34,-33,-21,-11,-14,-5
1558434137169882,-10,-11,-3,1,0,4,-9,-10
1558434137169882,-2,1,1,-5,-15,-13,-4,-1
1558434137183868,4,3,6,2,8,5,6,0
1558434137183868,5,20,30,21,19,17,10,4
1558434137191823,-6,-21,-40,-12,-9,-7,-4,-1
1558434137191823,-8,-7,-13,-20,-14,-7,-1,-7
1558434137207843,-3,-10,-6,-5,-17,-15,-6,-2
1558434137207843,4,18,24,21,12,6,-14,-7
1558434137207843,2,-8,-21,-13,-3,4,7,1
1558434137207843,-10,-9,-5,-13,-4,-1,-16,-7
1558434137221737,1,-1,13,16,5,1,20,9
1558434137221737,0,6,-15,-32,-10,-10,1,4
1558434137229719,2,5,26,26,8,0,3,0
1558434137229719,2,2,-6,3,-2,-6,3,1
1558434137244678,-2,-7,-24,-28,-9,1,-9,-5
1558434137244678,-7,-9,6,3,0,7,7,-3
1558434137252656,0,4,-5,-2,0,4,5,2
1558434137252656,6,7,23,18,5,-2,4,1
1558434137267842,-2,4,1,1,2,-1,-7,-5
1558434137267842,-4,-6,13,7,-1,-3,3,0
1558434137267842,-4,-13,-31,-26,-11,-9,-10,-5
1558434137267842,4,10,29,23,9,6,1,5
1558434137281797,-2,4,-24,-10,-2,1,-6,-3
1558434137281797,4,2,3,7,8,6,-1,0
1558434137289559,1,0,57,34,12,7,2,0
1558434137289559,-6,-18,-78,-49,-20,-10,0,-1
1558434137304517,-3,-1,5,-2,-6,-7,1,-5
1558434137304517,-3,-4,-13,-6,-2,-2,-6,-3
1558434137312498,5,15,4,-8,5,5,7,3
1558434137312498,11,14,31,33,28,15,10,6
1558434137327461,-3,-2,-3,-2,-16,-12,-9,-5
1558434137327461,-7,-21,-32,-15,-1,6,-5,-4
1558434137327461,1,8,10,7,-2,-7,-3,-1
1558434137327461,-2,1,23,14,13,12,15,6
1558434137341623,6,11,15,4,-2,-4,-7,-1
1558434137341623,-9,-22,-14,4,-8,6,-5,-5
1558434137350469,-2,-2,-7,-4,-3,-4,-5,-1
1558434137350469,-9,-28,-53,-40,-18,-6,-8,-11
1558434137364579,3,1,15,5,8,-2,3,0
1558434137364579,3,2,21,22,8,-5,4,3
1558434137372335,1,7,-15,-24,-7,1,3,-4
1558434137372335,0,2,13,14,9,6,2,1
1558434137387297,6,19,52,28,11,1,-7,3
1558434137387297,-12,-19,-58,-40,-28,-12,-4,-7
1558434137388293,0,4,-4,-4,-6,-3,-6,-5
1558434137388293,3,15,40,33,29,22,3,5
1558434137402280,-11,-25,-38,-22,-12,-14,-7,0
1558434137402280,4,3,35,20,17,13,16,4
1558434137410431,-9,-7,-19,-9,-6,2,-15,-8
1558434137410431,6,25,37,12,-4,-6,-2,-4
1558434137424403,-2,7,-35,-22,-7,7,1,-1
1558434137424403,-4,-4,13,8,2,0,-1,1
1558434137432397,-5,-16,-35,-22,-13,-16,-10,-1
1558434137432397,-3,-18,19,10,2,-1,3,-3
1558434137447172,-1,-8,-6,0,5,12,2,-1
1558434137447172,6,15,-3,-1,-5,-12,-8,3
1558434137448133,-4,-3,25,22,14,8,23,4
1558434137448133,-1,8,-23,-13,-19,-14,-11,-4
1558434137461100,-4,-9,-3,-11,-4,3,5,3
1558434137461100,2,-6,1,8,5,-7,-3,3
1558434137470078,4,9,19,14,7,3,2,2
1558434137470078,-4,-8,-1,-7,-5,-14,-16,-4
1558434137484035,-1,-1,-27,-20,-7,-2,2,0
1558434137484035,-3,3,28,9,-2,3,-1,-1
1558434137492015,2,1,-30,-9,10,8,17,1
1558434137492015,-4,-11,-18,-19,-13,-6,-8,-4
1558434137506974,2,10,57,41,24,12,6,1
1558434137506974,-2,-1,-41,-22,-11,-7,-2,-3
1558434137514953,-4,1,-1,-5,-13,-9,-12,-4
1558434137514953,5,7,8,8,-2,-3,0,3
1558434137529977,-8,-24,-16,-7,-3,0,-9,-9
1558434137529977,-1,8,7,4,-1,-2,4,2
1558434137530911,2,-2,15,8,4,-6,-12,-3
1558434137530911,-1,-4,-17,-3,-2,-1,3,0
1558434137543943,-6,-5,-5,2,5,10,2,-4
1558434137543943,0,2,-5,3,-3,-5,3,-4
1558434137551863,4,5,-9,-17,-9,2,-4,0
1558434137551863,-2,-13,9,6,2,2,1,1
1558434137566814,-3,7,11,2,-6,-8,-2,1
1558434137566814,-1,-4,-2,3,-1,-7,-1,-2
1558434137574823,-1,4,-4,-4,4,-1,5,4
1558434137574823,-4,-21,-12,-8,-8,-8,-5,-3
1558434137581776,6,28,8,3,-2,-3,7,3
1558434137581776,-10,-16,0,-4,-3,-3,-15,-10
1558434137589755,-2,-2,5,2,-7,-9,-2,-3
1558434137589755,1,14,-2,-2,11,15,11,2
1558434137603781,-1,-9,6,9,-1,-2,-1,-2
1558434137603781,9,14,30,20,8,4,-3,-1
1558434137612700,-10,-21,-66,-46,-26,-18,-13,-9
1558434137612700,-1,8,2,-7,-8,2,2,2
1558434137626700,-14,-3,4,13,5,1,-7,-3
1558434137626700,-1,-13,-10,-12,-9,-4,-5,2
1558434137634699,5,-1,25,19,11,14,10,4
1558434137634699,-1,11,4,3,-4,-10,-4,-1
1558434137641625,7,-3,0,5,2,0,4,5
1558434137641625,-3,-1,-8,-15,-4,-2,-1,-1
1558434137649717,3,0,1,8,-2,2,-2,3
1558434137649717,4,2,-1,8,3,-3,-4,-2
1558434137664554,1,-8,-3,-7,-5,2,-6,-3
1558434137664554,-8,-3,-3,-6,-3,-10,-20,-6
1558434137672532,2,-2,1,-3,-3,1,8,2
1558434137672532,7,13,24,15,8,-4,6,4
1558434137686495,0,-7,-23,-14,-4,-1,-1,2
1558434137686495,5,10,-5,-19,-4,4,3,2
1558434137694513,-1,5,16,7,-5,-5,-14,-5
1558434137694513,-6,-7,-8,-4,-4,2,-2,-4
1558434137710432,5,-1,-5,-2,0,-7,6,-2
1558434137710432,-2,-8,-5,3,-9,2,8,1
1558434137711429,-11,-4,-4,-12,-11,-11,-10,-6
1558434137711429,-8,-8,-5,-2,6,6,0,-3
1558434137724670,0,2,12,2,5,-6,0,1
1558434137724670,7,18,-5,5,8,9,5,3
1558434137732577,-1,-5,-2,3,-2,-7,-2,-2
1558434137732577,-5,-9,-10,-13,-7,-5,-5,-2
1558434137746555,-3,2,10,0,-11,-5,-8,-6
1558434137746555,2,-2,-2,1,6,2,4,-1
1558434137754314,0,4,6,3,5,5,-6,-1
1558434137754314,-1,0,2,-4,-11,-14,-17,-5
1558434137770307,4,2,-1,20,9,4,23,12
1558434137770307,0,-5,-3,0,11,6,5,-1
1558434137771267,-7,-5,-21,-12,4,12,2,-4
1558434137771267,-3,-11,5,-4,-10,0,-7,-4
1558434137784273,-8,-9,-10,-11,-11,-5,-15,-9
1558434137784273,4,5,4,-1,-7,-8,-5,0
1558434137792211,2,1,14,12,9,-3,-1,1
1558434137792211,-1,3,-4,4,9,10,3,0
1558434137806232,2,4,-5,-7,-2,-1,-8,-5
1558434137806232,-3,3,12,7,2,2,7,2
1558434137815252,3,-1,34,15,16,3,-1,1
1558434137815252,1,2,-29,6,4,10,11,1
1558434137830111,-10,-26,-55,-48,-20,-9,-6,-9
1558434137830111,-3,2,4,1,2,-1,4,0
1558434137831109,0,-3,18,13,-2,-2,-3,2
1558434137831109,-5,-18,3,7,9,3,3,2
1558434137844073,-1,-4,0,-3,0,0,-2,-2
1558434137844073,-1,-4,-1,-7,-15,-8,-11,-4
1558434137852417,2,17,2,6,3,1,8,4
1558434137852417,3,9,1,-2,2,0,0,1
1558434137867363,0,-2,5,2,-6,-10,-7,3
1558434137867363,-2,2,-7,-4,2,5,2,-4
1558434137875260,5,-1,2,3,2,2,4,0
1558434137875260,-12,-8,1,2,-10,-7,-8,-8
1558434137888957,3,11,28,5,8,4,-2,1
1558434137888957,-2,-12,-24,-10,-17,-12,-3,-4
1558434137897953,-14,-12,-38,-15,-12,-11,-2,-6
1558434137897953,3,-3,9,-4,-2,1,-1,-2
1558434137904060,0,4,8,9,12,14,1,-4
1558434137904060,-3,-3,2,0,6,1,-3,0
1558434137912890,4,-2,0,3,1,1,-6,0
1558434137912890,1,9,-7,-10,-5,-4,2,2
1558434137927040,-1,-3,26,19,4,0,11,3
1558434137927040,2,5,0,0,9,7,7,-4
1558434137935834,-1,2,2,0,3,6,-4,3
1558434137935834,7,17,45,34,18,5,-2,0
1558434137949791,11,7,-32,-8,-20,-2,6,4
1558434137949791,-30,-40,-54,-42,-9,-7,-10,-9
1558434137957769,-6,-22,-7,-21,-19,-18,-5,-5
1558434137957769,-3,-7,7,8,11,5,7,2
1558434137965220,0,3,27,21,3,1,-5,2
1558434137965220,12,24,15,14,10,12,8,8
1558434137972730,-1,-5,0,-6,-7,-4,-2,0
1558434137972730,5,11,-4,-7,-1,3,13,4
1558434137987015,-6,-9,-11,-7,1,1,-5,-7
1558434137987015,4,4,16,10,-10,-12,4,2
1558434137995670,2,10,-7,-4,0,-3,-6,-4
1558434137995670,2,2,8,9,3,6,6,-2
1558434138009723,-18,-25,-39,-27,-23,-20,-17,-13
1558434138009723,-1,-8,-5,-5,-1,-2,-15,-8
1558434138017835,3,8,19,18,13,6,8,4
1558434138017835,4,3,-11,-11,-17,-7,-6,1
1558434138023592,3,11,8,0,8,2,-1,5
1558434138023592,-2,0,12,11,7,5,6,2
1558434138032783,1,4,-8,0,-7,0,-4,-1
1558434138032783,-19,-47,-14,-10,-2,-3,-4,-4
1558434138046757,6,14,12,1,6,-1,5,2
1558434138046757,4,7,15,14,-3,-9,-4,-1
1558434138055508,1,5,-18,-15,-4,0,-6,-5
1558434138055508,-7,-22,-10,-14,-12,-5,-3,-1
1558434138069771,-7,-2,-11,-9,-6,-8,-2,-4
1558434138069771,4,1,21,12,4,-4,-9,2
1558434138077452,6,17,0,5,7,2,9,2
1558434138077452,5,11,-1,-15,-7,-10,-7,-1
1558434138084654,3,2,3,13,8,13,11,-1
1558434138084654,6,15,-19,-9,1,3,-2,-2
1558434138093407,-11,-15,11,-7,-7,-1,-7,-4
1558434138093407,0,2,-23,-4,-7,-9,-7,-3
1558434138106408,2,-3,11,2,-5,-4,0,5
1558434138106408,4,5,11,7,10,5,-3,3
1558434138115348,-4,-2,7,5,2,6,16,5
1558434138115348,-2,13,5,6,-4,-8,-10,-3
1558434138129349,-7,-4,-9,-11,1,6,4,-4
1558434138129349,-5,-15,-22,-22,-6,-1,11,-1
1558434138138287,7,7,8,5,3,-1,-8,4
1558434138138287,7,18,6,3,9,10,2,0
1558434138144718,-3,-15,7,6,0,-4,-4,1
